CATEGORIE;INDICATEUR;VALEUR;UNITE
Config;Seed;42;
Config;UtiliserSeedFixe;1;bool
Global;DureeTotaleSecondes;141.99;s
Global;DureeTotaleFormatee;02m:21s;mm:ss
Global;ClientsTraites;30;clients
Global;ClientsCibles;30;clients
Global;TauxCompletion;100.0;%
Global;VolumeVentes;301;articles
Parcours;TauxRepassageGlobal;233.3;%
Parcours;TotalRepassages;70;retours
Parcours;IndiceDetour;1.225;ratio
Parcours;DistanceTotaleParcourue;3260.52;m
Parcours;DistanceTotaleOptimale;2661.16;m
Parcours;ZoneConfusePire;arme;zone
Parcours;ZoneConfusePireRetours;29;retours
Parcours;ArticlesParMetre;0.0923;articles/m
Achat;TotalAchatsImpulsifs;54;articles
Achat;TauxImpulsif;17.9;%
Conversion;alcool_Visites;34;visites
Conversion;alcool_Achats;33;achats
Conversion;alcool_Taux;97.1;%
Conversion;arme_Visites;106;visites
Conversion;arme_Achats;105;achats
Conversion;arme_Taux;99.1;%
Conversion;chips_Visites;41;visites
Conversion;chips_Achats;36;achats
Conversion;chips_Taux;87.8;%
Conversion;lait_Visites;31;visites
Conversion;lait_Achats;28;achats
Conversion;lait_Taux;90.3;%
Conversion;pain_Visites;30;visites
Conversion;pain_Achats;24;achats
Conversion;pain_Taux;80.0;%
Conversion;soft_Visites;25;visites
Conversion;soft_Achats;22;achats
Conversion;soft_Taux;88.0;%
Conversion;viande_Visites;55;visites
Conversion;viande_Achats;53;achats
Conversion;viande_Taux;96.4;%
Records;VisitePlusLongueSecondes;107.19;s
Records;VisitePlusLongueFormatee;01m:47s;mm:ss
Records;DernierClientInfo;Profil [Impulsif] | Durée: 01m:47s;texte
Records;DernierClientRaison;Gros acheteur (18 articles);texte
Layout;DensiteAchat;0.0923;articles/m
Layout;IndiceFrustrationAttente;9.1;%
Layout;DistanceMoyenne;108.68;m
Performance;PanierMoyen;10.03;articles/client
Performance;DebitClients;12.68;clients/min
Caisses;AttenteMoyenneSecondes;3.68;s
Caisses;AttenteMoyenneFormatee;00m:03s;mm:ss
Caisses;Saturations;0;fois
VentesParZone;alcool;33;ventes
VentesParZone;arme;105;ventes
VentesParZone;chips;36;ventes
VentesParZone;lait;28;ventes
VentesParZone;pain;24;ventes
VentesParZone;soft;22;ventes
VentesParZone;viande;53;ventes
Top3;#1_Zone;arme;zone
Top3;#1_Ventes;105;ventes
Top3;#2_Zone;viande;zone
Top3;#2_Ventes;53;ventes
Top3;#3_Zone;chips;zone
Top3;#3_Ventes;36;ventes
Flop3;#1_Zone;soft;zone
Flop3;#1_Ventes;22;ventes
Flop3;#2_Zone;pain;zone
Flop3;#2_Ventes;24;ventes
Flop3;#3_Zone;lait;zone
Flop3;#3_Ventes;28;ventes
Profils;Organises_Nb;13;clients
Profils;Impulsifs_Nb;13;clients
Profils;Presses_Nb;10;clients
Profils;Organises_Pct;43.3;%
Profils;Impulsifs_Pct;43.3;%
Profils;Presses_Pct;33.3;%
Profils;Organises_DistanceMoy;88.63;m
Profils;Impulsifs_DistanceMoy;140.35;m
Profils;Presses_DistanceMoy;110.05;m
Temps;TempsTotalShopping;1215.51;s
Temps;TempsTotalAttenteCaisse;110.47;s
Temps;TempsMoyenShoppingParClient;40.52;s
